index,text,modified_text,intervention_status,intervention_type,gold_label,pred_label
68,"Yeah, most of the damage is pretty mostly contained in the bedrooms.","Yeah, most of the damage is pretty mostly localized in the bedrooms.",success,weak,sadness,neutral
71,"Hey buddy, do you think I can borrow your uniform this Thursday?","Hey buddy, do you think I can use your uniform this Thursday?",success,weak,neutral,neutral
74,"Oh, how bad is it?","Oh, how difficult is it?",success,weak,sadness,sadness
76,How’s your room Rach?,How’s your space Rach?,success,weak,neutral,neutral
79,Fine! I’m sorry for your loss!,Alright! I’m sorry for your loss!,success,weak,anger,anger
80,"So uh, you’re not gonna be able to live here for a while, you ladies have a place to stay?","So uh, you’re not gonna be able to live here for a while, you folks have a place to stay?",success,weak,neutral,neutral
81,"Wow! Oh-okay, look pal, I am","Oh! Oh-okay, look pal, I am",success,weak,joy,surprise
83,Have you figured out what started the fire Mr. Fireman?,Have you figured out what started the smoke Mr. Fireman?,success,weak,neutral,neutral
84,There’s just so much pressure.,There’s just so much stress.,success,weak,anger,sadness
87,"Yeah, none of us have to deal with pressure at our jobs.","Yeah, none of us have to manage with pressure at our jobs.",success,weak,neutral,neutral
89,I mean there’s no way Joey’s gonna make it in time.,I mean there’s no way Joey’s gonna catch it in time.,success,weak,fear,sadness
90,So I’m gonna go through the hotel and see if there’s any other weddings going on.,So I’m gonna go around the hotel and see if there’s any other weddings going on.,success,weak,neutral,neutral
95,"Well, apparently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.","Well, evidently not, and I can’t just stand by and watch two people I care about very much be hurt over something that is so silly.",success,weak,sadness,anger
96,"I mean, enough of the silliness!","I mean, enough of the nonsense!",success,weak,anger,anger
97,"Well, why don’t you tell her to stop being silly!","Well, why don’t you tell her to stop being unreasonable!",success,weak,anger,anger
99,"Two very good points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.","Two very decent points, look I’ve known you both a long time, and I’ve never seen either of you one/millionth as happy as you’ve been since you’ve got together.",success,weak,sadness,joy
100,Do you really want to throw that all away over a room?,Do you really want to throw that all away concerning a room?,success,weak,sadness,surprise
101,That is so silly.,That is so funny.,success,weak,joy,anger
102,"Now wh-what is more important, love or silliness?","Now wh-what is more relevant, love or silliness?",success,weak,neutral,neutral
110,"And Mon, you wanna live with Chandler, don’t ya?","And Monica, you wanna live with Chandler, don’t ya?",success,weak,neutral,neutral
112,Good! A verbal contract is binding in the state of New York!,Fine! A verbal contract is binding in the state of New York!,success,weak,joy,joy
115,"Well, I'm not I'm not at all surprised they feel that way.","Well, I'm not I'm not at all aware they feel that way.",success,weak,neutral,neutral
116,"You're not? See, that's why you're so great!","You're not? See, that's why you're so good!",success,weak,surprise,anger
117,"Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic.","Actually it's, it's quite, y'know, common behaviour when you have this kind of dysfunctional group dynamic.",success,weak,neutral,neutral
121,Have you really done this before?,Have you really done this recently?,success,weak,surprise,surprise
125,"You just take a big, big swing.","You just take a big, big attempt.",success,weak,neutral,neutral
130,We’re just celebrating that Joey got his health insurance back.,We’re just acknowledging that Joey got his health insurance back.,success,weak,joy,joy
137,Cut it out Ross! I hate to have to save your life and kick your ass in the same day!,Cut it down Ross! I hate to have to save your life and kick your ass in the same day!,success,weak,anger,anger
138,"Hey, Joey, could you pass the cheese?","Hey, Joey, could you hand the cheese?",success,weak,neutral,neutral
140,"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.","As I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",success,weak,neutral,neutral
141,"Hey, dragon! Here’s your tips from Monday and Tuesday.","Hey, buddy! Here’s your tips from Monday and Tuesday.",success,weak,neutral,joy
143,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.","Yeah, people get somewhat generous around the holidays. And it never hurts to wear tight trousers.",success,weak,neutral,neutral
144,Could the waiters gather around to hear tonight’s specials?,Could the waiters assemble around to hear tonight’s specials?,success,weak,neutral,neutral
145,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?","Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody noting these down?",success,weak,neutral,neutral
147,Because your all gonna make up fake specials and make me cook them like you did the other night?,Because your all gonna make up fake specials and make me cook them like you did the other time?,success,weak,anger,anger
150,"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?","Question. Was ah, ‘Egg the Neighbors!’ the war cry of your neighbourhood?",success,weak,neutral,anger
155,"Oh, I cannot believe he’s using our divorce to sell mattresses.","Oh, I hardly believe he’s using our divorce to sell mattresses.",success,weak,anger,surprise
157,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.","And four ninety-nine for a pillow top queen bundle, who cares about the divorce, those babies will sell themselves.",success,weak,anger,neutral
158,And I’m appalled for you by the way.,And I’m concerned for you by the way.,success,weak,anger,anger
160,Four percent. Okay. I tip more than that when there’s a bug in my food.,Four percent. Okay. I leave more than that when there’s a bug in my food.,success,weak,disgust,neutral
164,"I’m, I’m freaking out!","I’m, I’m freaking down!",success,weak,fear,anger
167,Does Monica still turn on the lights in her bedroom?,Does Monica still turn on the lamp in her bedroom?,success,weak,neutral,neutral
171,"So, I’ll invite him to brunch tomorrow and you can make nice.","So, I’ll invite someone to brunch tomorrow and you can make nice.",success,weak,neutral,neutral
172,"Look, honey, I have tried to make nice, it doesn’t work.","Look, dear, I have tried to make nice, it doesn’t work.",success,weak,anger,sadness
173,"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.","Okay, look, Ross, I realise that my parent is difficult, but that’s why you have got to be the bigger man here.",success,weak,neutral,sadness
174,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!","Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any impact, except that I could pick your Father up and say ‘Like me!",success,weak,anger,anger
175,Like me tiny doctor!’,Like me tiny person!’,success,weak,anger,joy
177,"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.","Rachel one brunch is not gonna improve anything. You gotta face it, okay we’re never gonna get along.",success,weak,anger,anger
179,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!","Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you also!",success,weak,anger,anger
183,"Okay, it's missing something. Ooh, I know! Umm, okay.","Okay, it's lacking something. Ooh, I know! Umm, okay.",success,weak,neutral,surprise
185,It's not a purse! It's a shoulder bag.,It's not a bag! It's a shoulder bag.,success,weak,anger,surprise
186,It looks like a women's purse.,It looks like a women's bag.,success,weak,neutral,neutral
187,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,","No Joey, look. Believe me, all the men are wearing them in the spring catalog. Look. See look,",success,weak,neutral,neutral
193,"So, um, have you told your parents?","So, um, have you mentioned your parents?",success,weak,neutral,neutral
196,"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.","You know what, I just have one more query, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",success,weak,neutral,neutral
197,"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.","no, um, I'm apologize, don't tell me, I don't think either answer would make me feel better.",success,weak,sadness,sadness
198,I love you Phoebe.,I like you Phoebe.,success,weak,joy,joy
206,"Well, y'know, you and me, it had to end sometime.","Well, y'know, you and me, it had to pause sometime.",success,weak,sadness,sadness
208,"Because of the weekend, we had a fight.","Because of the weekend, we had a disagreement.",success,weak,sadness,sadness
211,"So, this isn't over?","So, this isn't finished?",success,weak,neutral,surprise
212,You are so cute!,You are so nice!,success,weak,joy,joy
214,"No, it was a fight.","No, it was a disagreement.",success,weak,neutral,neutral
215,You deal with it and move on!,You deal with it and continue on!,success,weak,joy,anger
216,It's nothing to freak out about.,It's little to freak out about.,success,weak,neutral,neutral
218,"Ohh, welcome to an adult relationship!","Ohh, enter to an adult relationship!",success,weak,joy,joy
219,We're in a relationship?,We're in a partnership?,success,weak,surprise,surprise
223,So you like the short hair better.,So you like the trimmed hair better.,success,weak,neutral,neutral
225,Can I tell you a little secret?,Can I share you a little secret?,success,weak,neutral,neutral
228,"Ohh, I'm gonna be on the news!","Ohh, I'm gonna be on the TV!",success,weak,joy,joy
230,"Oh, I am, my side still hurts from when you crashed into me yesterday.","Oh, I am, my side still aches from when you crashed into me yesterday.",success,weak,neutral,sadness
231,"Oh God, I’m so sorry.","Oh God, I’m so upset.",success,weak,sadness,sadness
236,Got a job on a river boat?,Got a gig on a river boat?,success,weak,neutral,neutral
237,"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...","Y'know what I didn’t wear this suit for a year because you disliked it. Well, guess what? You’re not my girlfriend anymore so...",success,weak,anger,anger
238,"Oh I see, so this suit is making a point.","Oh I see, so this suit is making a statement.",success,weak,neutral,neutral
241,Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,Oh absolutely. I like it just more on you than I did on Colonel Sanders. Ross! Ross! I’m kidding!,success,weak,neutral,joy
244,Yeah. Oh! Was how you invented the cotton gin?!,Yeah. Oh! Was how you invented the cotton machine?!,success,weak,neutral,surprise
250,Oh down please.  I-I hate to be a ball buster can I just do it?,Oh down please. I-I dislike to be a ball buster can I just do it?,success,weak,joy,sadness
251,Could you press up too please?,Could you tap up too please?,success,weak,neutral,neutral
252,Sure! I feel so bad for you. I broke my leg once too.,Sure! I feel so sorry for you. I broke my leg once too.,success,weak,sadness,sadness
253,Oh yeah? How’d yours happen?,Oh yeah? How’d yours occur?,success,weak,neutral,surprise
254,"Well, it’s a long story.","Well, it’s a long tale.",success,weak,neutral,neutral
255,It’s kind of embarrassing.,It’s kind of awkward.,success,weak,neutral,disgust
259,"Oh, let me guess some idiot on a cell phone wasn’t paying attention?","Oh, let me guess some idiot on a cell phone wasn’t paying notice?",success,weak,neutral,surprise
264,Wait! What?! No!! Elevator!! No!,Hold! What?! No!! Elevator!! No!,success,weak,anger,surprise
265,"Uh, you gotta press the button.","Uh, you gotta tap the button.",success,weak,neutral,neutral
266,"Oh we did, and you still have all your lamps.","Oh we did, and you still have all your lights.",success,weak,neutral,neutral
268,"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.","Oh dude, don't stress about it, I found an unattended maid's car. We're way ahead of the game.",success,weak,neutral,neutral
272,"Look, we have enough, just walk away.","Look, we have plenty, just walk away.",success,weak,fear,anger
273,"No, but I want...I want the pinecones!","No, but I want...I want the pebbles!",success,weak,joy,joy
274,There's a forest right outside.,There's a forest right nearby.,success,weak,neutral,neutral
277,Thank you for a delightful stay.,Thank you for a delightful visit.,success,weak,joy,neutral
278,"Oh, my maple candy!","Oh, my maple treat!",success,weak,joy,joy
280,"Oh. God, crazy Chandler. He spun me...off...the...bed!","Oh. God, crazy Chandler. He moved me...off...the...bed!",success,weak,joy,surprise
281,Wow! Spinning that sounds like fun.,Wow! Spinning that sounds like enjoyable.,success,weak,joy,joy
285,"Whoops.  Oh, hey, do you need help with that?","Oops. Oh, hey, do you need help with that?",success,weak,neutral,surprise
290,"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?","Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or heard him?",success,weak,neutral,neutral
291,"Oh no, I-I’m sorry, I guess we lost track of everybody after high school.","Oh no, I-I’m apologize, I guess we lost track of everybody after high school.",success,weak,sadness,sadness
297,"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.","Ohh, y'know I-I heard about what transpired, that must have been just terrible for you, losing your mother that way.",success,weak,sadness,sadness
298,"Yeah, no, it was great.","Yeah, no, it was good.",success,weak,joy,joy
299,"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!","Well, alright, we already tried feeding her, changing her, burping her, oh consider this one!",success,weak,sadness,joy
300,Go back in time and listen to Phoebe!,Go back in history and listen to Phoebe!,success,weak,anger,joy
305,"Oh come on, what am I gonna do, its been hours and it  won’t stop crying.","Oh come on, what am I gonna do, its been hours and it won’t stop whining.",success,weak,sadness,sadness
306,"Umm, she Rach, not it, she.","Umm, she Rach, actually it, she.",success,weak,neutral,sadness
309,"Yeah, no kidding, this just proves no good can come from  having sex with Ross!","Yeah, no kidding, this just proves no benefit can come from having sex with Ross!",success,weak,anger,anger
312,"Yeah I can!  And don’t think I don’t, because I do! I mean all the time, you betcha!","Yeah I can! And don’t think I don’t, because I do! I mean all the time, you know!",success,weak,joy,joy
314,"Of course I have! What do you think, I’m some 30 year old virgin?","Of course I have! What do you think, I’m a 30 year old virgin?",success,weak,anger,anger
318,"I mean, y’know, I’m just waiting for the perfect guy.","I mean, y’know, I’m just looking for the perfect guy.",success,weak,neutral,neutral
319,"I’m seeing this guy Roger, all right?","I’m seeing this guy someone, all right?",success,weak,neutral,neutral
320,"He’s not perfect, but umm, I think maybe I should just get it over with.","He’s quite perfect, but umm, I think maybe I should just get it over with.",success,weak,neutral,neutral
324,I mean sex does not have to be a big deal!,I mean sex does not have to be a big issue!,success,weak,anger,joy
325,There shouldn’t be all this rules and restrictions!,There shouldn’t be all this rules and guidelines!,success,weak,anger,anger
326,"Y’know, people should be able to sleep with who ever they want, whenever","Y’know, individuals should be able to sleep with who ever they want, whenever",success,weak,neutral,neutral
327,Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,Rachel! I’m never gonna think it’s okay for you to cheat on your partner!,success,weak,anger,anger
328,Oh what do you know? Virgin!,Oh what do you know? Rookie!,success,weak,anger,joy
336,"So, I hear, you hate me!","So, I hear, you dislike me!",success,weak,anger,anger
339,And you got a 'hate' from that?! Your taking a big leap there...,And you got a 'dislike' from that?! Your taking a big leap there...,success,weak,fear,anger
341,"So, this is my idea: you and me spending some quality time together.","So, this is my suggestion: you and me spending some quality time together.",success,weak,neutral,neutral
344,"Guess what, I got an audition!","Guess what, I got an interview!",success,weak,joy,joy
345,"Awww, one of my students got an audition. I’m so proud.","Oh, one of my students got an audition. I’m so proud.",success,weak,joy,joy
346,I was wondering if you would consider coaching me for it?,I was wondering if you would review coaching me for it?,success,weak,neutral,neutral
348,"Oh it’s great, it’s a role on","Oh it’s good, it’s a role on",success,weak,joy,joy
352,"You can’t ask us son, that’s cheating.","You can’t ask us friend, that’s cheating.",success,weak,neutral,anger
354,"Well, he better not come by here. He can’t see the bride in the wedding dress.","Well, he better not visit by here. He can’t see the bride in the wedding dress.",success,weak,neutral,anger
355,"As I recall when we got married, I saw the groom in the wedding dress.","As I remember when we got married, I saw the groom in the wedding dress.",success,weak,joy,neutral
356,"But that was after the wedding, it’s not bad luck then.","But that was after the wedding, it’s hardly bad luck then.",success,weak,neutral,neutral
362,"I’m really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.","I’m really relieved you guys are okay but, I just keep thinking what would happen if-if you two actually had hooked up.",success,weak,neutral,sadness
364,"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!","Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third class!",success,weak,anger,joy
368,"What, he doesn’t like Josh?","What, he doesn’t like someone?",success,weak,surprise,surprise
374,"We really weren’t great at being guys, but you know why?","We really weren’t okay at being guys, but you know why?",success,weak,sadness,sadness
377,"Yeah, I lost it.","Yeah, I misplaced it.",success,weak,sadness,sadness
378,"Y’know, I’m not gonna play anymore,  would you, can you finish my set?","Y’know, I’m not gonna play anymore, would you, can you finish my performance?",success,weak,neutral,neutral
382,I played bad on purpose guys.,I played poorly on purpose guys.,success,weak,joy,sadness
383,"Okay, so you were trying to play bad this whole time.","Okay, so you were trying to pretend bad this whole time.",success,weak,surprise,neutral
385,"Oh, I was thinking about having people over for the game.","Oh, I was thinking about inviting people over for the game.",success,weak,neutral,neutral
390,"All right Pheebs, stick out your plate!","All right Pheebs, stick out your bowl!",success,weak,neutral,joy
393,I don’t want to say.,I don’t want to mention.,success,weak,neutral,neutral
394,"Oh, come on! I don’t care! Come on! Whose is it?","Oh, come on! I don’t mind! Come on! Whose is it?",success,weak,joy,anger
397,"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.","I’m sorry, but I just wrote the great dance song for your wedding. Check this out.",success,weak,neutral,joy
400,Oh that’s so exciting!,Oh that’s so interesting!,success,weak,joy,joy
402,"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.","Oh but Mon, if you touch my guitar often I’ll have to pound on you for a little bit.",success,weak,anger,neutral
403,"Fair enough, now go get ready!","Fair alright, now go get ready!",success,weak,neutral,neutral
405,"My best shoes, so good to me.","My best shoes, so nice to me.",success,weak,joy,joy
407,"Down at the heel, holes in the toes.","Worn at the heel, holes in the toes.",success,weak,joy,neutral
409,"My feet’s best friends, pals to the end.","My feet’s best friends, pals to the finish.",success,weak,joy,joy
410,With them I’m one hot chicky.,With them I’m one fun chicky.,success,weak,joy,joy
412,I stepped in something icky.,I stepped in something unpleasant.,success,weak,joy,sadness
413,"Sticky shoes, sticky shoes, always make me smile. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.","Sticky shoes, sticky shoes, always make me laugh. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.",success,weak,joy,joy
419,"Look, I’m just gonna be across the hall, we can still do all the same stuff.","Look, I’m just gonna be across the room, we can still do all the same stuff.",success,weak,neutral,neutral
420,Yeah but we won’t be able to like get up in the middle of the night and have those long talks about our feelings and the future.,Yeah but we won’t be likely to like get up in the middle of the night and have those long talks about our feelings and the future.,success,weak,sadness,sadness
421,Not once did we do that.,Not ever did we do that.,success,weak,neutral,neutral
426,"Oh yeah? Well, how’d she take it?","Oh yeah? Well, how’d she receive it?",success,weak,neutral,neutral
427,"Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or sad.","Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or upset.",success,weak,neutral,neutral
428,"Okay, if you need the vacuum, it’s in my closet on the left-hand side. Ah, the garbage bags are next to the refrigerator","Okay, if you need the vacuum, it’s in my closet on the left-hand area. Ah, the garbage bags are next to the refrigerator",success,weak,neutral,neutral
429,"Okay, okay, but Rachel’s gonna be here too, can’t I just ask her this stuff?","Okay, okay, but Rachel’s gonna be here too, can’t I just mention her this stuff?",success,weak,neutral,neutral
430,"Yeah, okay, give that a try!","Yeah, okay, give that a consider!",success,weak,neutral,joy
437,Monica? What time is it?,Monica? What moment is it?,success,weak,neutral,neutral
439,But it's dark out.,But it's dim out.,success,weak,neutral,neutral
440,"Well that's because you always sleep to noon, silly! This is what 9 looks like.","Well that's because you always sleep to lunch, silly! This is what 9 looks like.",success,weak,neutral,neutral
445,Y'know what if we went away for a whole weekend?,Y'know what if we went nearby for a whole weekend?,success,weak,neutral,neutral
446,Y'know we'd have no interruptions and we could be naked the entire time.,Y'know we'd have no distractions and we could be naked the entire time.,success,weak,joy,neutral
447,All weekend? That's a whole lotta naked.,All afternoon? That's a whole lotta naked.,success,weak,surprise,surprise
448,"Yeah, I can say that I have a conference and you can say you have a chef thing.","Yeah, I can say that I have a meeting and you can say you have a chef thing.",success,weak,neutral,neutral
449,"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!","Ohh, I've always wanted to go to this culinary fair that they have in town!",success,weak,joy,joy
452,"Oh umm, there’s also a book here by a woman named Wendy Bagina.  What is that?","Oh umm, there’s actually a book here by a woman named Wendy Bagina. What is that?",success,weak,neutral,neutral
453,Sounds like two people are really enjoying the Dewey decimal system.,Sounds like two people are really appreciating the Dewey decimal system.,success,weak,neutral,joy
458,"Oh you know uh Kash, really liked you the other day. He said he thought you were charming.","Oh you know uh Kash, really liked you the other time. He said he thought you were charming.",success,weak,neutral,joy
459,Okay I-I just have to stop by my place first.,Okay I-I just have to stop by my place later.,success,weak,neutral,neutral
460,"To tape the game? You do this every time Ross, you’re","To record the game? You do this every time Ross, you’re",success,weak,disgust,neutral
461,"No-no, I-I have to see if this apartment became available.","No-no, I-I have to see if this apartment became listed.",success,weak,neutral,neutral
462,"Oh, you’re switching apartments?","Oh, you’re switching rooms?",success,weak,surprise,surprise
471,Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?,Look what I got! Look what I got! Look what I got! Can you see they make these for little people?,success,weak,surprise,surprise
474,"Oh, that is so sweet!","Oh, that is so nice!",success,weak,joy,joy
475,I know! Phoebe is gonna love dressing them in these!,I know! Phoebe is gonna like dressing them in these!,success,weak,joy,joy
476,"Huh. Except, Phoebe’s not gonna be the one that gets to dress them.","Huh. Although, Phoebe’s not gonna be the one that gets to dress them.",success,weak,neutral,neutral
477,Because she’s not gonna get to keep the babies.,Because she’s not gonna get to keep the kids.,success,weak,sadness,sadness
480,"Unless, we give her all gifts she can use after she’s done being pregnant.","Unless, we give her all gifts she can enjoy after she’s done being pregnant.",success,weak,joy,neutral
481,"Like-like umm, regular coffee, Tequila.","Like-like umm, plain coffee, Tequila.",success,weak,neutral,neutral
482,"Oh, and somebody can get those leather pants she’s always wanted!","Oh, and somebody can get those leather pants she’s always liked!",success,weak,joy,joy
483,"Oh, she’s gonna love that!","Oh, she’s gonna like that!",success,weak,joy,joy
485,"Yes your honor, and here are, are forms, all filled out.","Yes your honor, and here are, are documents, all filled out.",success,weak,neutral,neutral
486,So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.,So based on your petition you are seeking an annulment on the grounds that Mr. Smith is mentally unstable.,success,weak,neutral,neutral
487,"Fine, I’m mentally unstable.","Alright, I’m mentally unstable.",success,weak,anger,anger
490,"Uh yes, heroin and crack.","Uh yes, heroin and caffeine.",success,weak,neutral,neutral
491,Crack isn’t even an intravenous drug!,Crack isn’t even an intravenous substance!,success,weak,anger,anger
495,"Ross, please, I found the magazines!","Ross, please, I found the brochures!",success,weak,sadness,anger
496,Phoebe just because I'm alone doesn’t mean I wanna walk around naked.,Phoebe just because I'm alone doesn’t mean I wanna walk around undressed.,success,weak,neutral,neutral
499,"I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own baby!","I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own child!",success,weak,sadness,sadness
501,"Oh. Oh, it’s beautiful. I see it now.","Oh. Oh, it’s nice. I see it now.",success,weak,joy,joy
509,Wow! I can’t believe that’s our baby.,Oh! I can’t believe that’s our baby.,success,weak,surprise,surprise
510,"Yeah, that’s our baby.","Yeah, that’s our child.",success,weak,joy,joy
512,"We were playing Gin? Y'know if we were a couple, we could play this game naked.","We were enjoying Gin? Y'know if we were a couple, we could play this game naked.",success,weak,joy,neutral
515,"Okay, all right, I think you’re great, I think you’re sweet, and you’re smart, and I love you.","Okay, all right, I think you’re great, I think you’re sweet, and you’re smart, and I appreciate you.",success,weak,joy,joy
516,But you will always be the guy who peed on me.,But you will always be the guy who spilled on me.,success,weak,disgust,anger
519,Let me tell you about this chick I scored with last night! Oh no wait a minute that was you!,Let me tell you about this chick I scored with last evening! Oh no wait a minute that was you!,success,weak,joy,joy
520,"Hey, check me out, I’m a slut!","Hey, check me out, I’m a flirt!",success,weak,joy,anger
522,Oh I can’t. Dr. Roger is coming over again.,Oh I can’t. Dr. Roger is visiting over again.,success,weak,neutral,neutral
530,"Great! It’s so amazing! I mean, last time Dr. Roger came over, I was","Great! It’s so good! I mean, last time Dr. Roger came over, I was",success,weak,joy,joy
532,"Y’know, I don’t have an appointment, but I sure could use a physical.  Are you sure you’re okay?","Y’know, I don’t have an appointment, but I sure could have a physical. Are you sure you’re okay?",success,weak,neutral,neutral
533,"Oh yeah! Yeah! Don’t worry about me, I’ll be fine!","Oh yeah! Yeah! Don’t worry about me, I’ll be okay!",success,weak,sadness,joy
534,You got the clothes clean. Now that's the important part.,You got the laundry clean. Now that's the important part.,success,weak,neutral,neutral
535,"Oh, I guess. Except everything looks like jammies now.","Oh, I suppose. Except everything looks like jammies now.",success,weak,neutral,neutral
536,"Whoa, I'm sorry. Excuse me. We had this cart.","Oops, I'm sorry. Excuse me. We had this cart.",success,weak,anger,surprise
537,"Yeah, but what if it's not? What if there    is a reason why we can't have a baby?","Yeah, but what if it's not? What if there is a reason why we can't have a child?",success,weak,fear,sadness
539,"oh, oh, yeah, ok, thanks.","oh, oh, yeah, ok, noted.",success,weak,joy,neutral
541,I guess I was just so worried about having to...    come here and do... 'that'...,I guess I was just so worried about needing to... come here and do... 'that'...,success,weak,sadness,sadness
