index,text,modified_text,intervention_status,intervention_type,gold_label,pred_label
138,"Hey, Joey, could you pass the cheese?","Hey, Joey, could you keep the cheese?",success,strong,neutral,neutral
140,"Since I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.","Because I don’t know anyone here, I thought it’d be cool to try out a cool work nickname.",success,strong,neutral,neutral
141,"Hey, dragon! Here’s your tips from Monday and Tuesday.","Hey, friend! Here’s your tips from Monday and Tuesday.",success,strong,neutral,joy
143,"Yeah, people get pretty generous around the holidays. And it never hurts to wear tight trousers.","Yeah, people get mean generous around the holidays. And it never hurts to wear tight trousers.",success,strong,neutral,neutral
144,Could the waiters gather around to hear tonight’s specials?,Could the waiters scatter around to hear tonight’s specials?,success,strong,neutral,neutral
145,"Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody writing these down?","Okay, first there is a Chilean Sea Bass prepared with a Mango relish on a bag—Why is nobody ignoring these down?",success,strong,neutral,neutral
147,Because your all gonna make up fake specials and make me cook them like you did the other night?,Because your all gonna make up fake specials and make me cook them like you did the other day?,success,strong,anger,anger
150,"Question. Was ah, ‘Egg the Gellers!’ the war cry of your neighbourhood?","Question. Was ah, ‘Egg the Heroes!’ the war cry of your neighbourhood?",success,strong,neutral,anger
157,"And four ninety-nine for a pillow top queen set, who cares about the divorce, those babies will sell themselves.","And four ninety-nine for a pillow top queen mess, who cares about the divorce, those babies will sell themselves.",success,strong,anger,neutral
158,And I’m appalled for you by the way.,And I’m pleased for you by the way.,success,strong,anger,anger
160,Four percent. Okay. I tip more than that when there’s a bug in my food.,Four percent. Okay. I complain more than that when there’s a bug in my food.,success,strong,disgust,neutral
164,"I’m, I’m freaking out!","I’m, I’m freaking in!",success,strong,fear,anger
166,"All right, I haven’t lived here in a while, so I have to ask you something.","All right, I haven’t lived here in a while, so I have to ignore you something.",success,strong,neutral,neutral
167,Does Monica still turn on the lights in her bedroom?,Does Monica still turn on the darkness in her bedroom?,success,strong,neutral,neutral
171,"So, I’ll invite him to brunch tomorrow and you can make nice.","So, I’ll invite nobody to brunch tomorrow and you can make nice.",success,strong,neutral,neutral
172,"Look, honey, I have tried to make nice, it doesn’t work.","Look, stranger, I have tried to make nice, it doesn’t work.",success,strong,anger,sadness
173,"Okay, look, Ross, I realise that my Father is difficult, but that’s why you have got to be the bigger man here.","Okay, look, Ross, I realise that my friend is difficult, but that’s why you have got to be the bigger man here.",success,strong,neutral,sadness
174,"Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any difference, except that I could pick your Father up and say ‘Like me!","Look sweetie, I could be the bigger man, I could be the biggest man, I could be a big, huge, giant man, and it still wouldn’t make any change, except that I could pick your Father up and say ‘Like me!",success,strong,anger,anger
175,Like me tiny doctor!’,Like me tiny villain!’,success,strong,anger,joy
176,"Okay, well can’t you just try it one more time Ross? For me? For me?","Okay, well can’t you just try it one less time Ross? For me? For me?",success,strong,sadness,anger
177,"Rachel one brunch is not gonna solve anything. You gotta face it, okay we’re never gonna get along.","Rachel one brunch is not gonna complicate anything. You gotta face it, okay we’re never gonna get along.",success,strong,anger,anger
179,"Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you too!","Because I already got a Mother and a Father who cannot stay in the same room together, okay, I don’t wanna have to have a separate room for you together!",success,strong,anger,anger
182,"All right, then you'd better show me some of that too then.","All right, then you'd better hide me some of that too then.",success,strong,neutral,neutral
183,"Okay, it's missing something. Ooh, I know! Umm, okay.","Okay, it's complete something. Ooh, I know! Umm, okay.",success,strong,neutral,surprise
185,It's not a purse! It's a shoulder bag.,It's not a backpack! It's a shoulder bag.,success,strong,anger,surprise
186,It looks like a women's purse.,It looks like a women's backpack.,success,strong,neutral,neutral
187,"No Joey, look. Trust me, all the men are wearing them in the spring catalog. Look.  See look,","No Joey, look. Doubt me, all the men are wearing them in the spring catalog. Look. See look,",success,strong,neutral,neutral
193,"So, um, have you told your parents?","So, um, have you hid your parents?",success,strong,neutral,neutral
196,"You know what, I just have one more question, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.","You know what, I just have one more statement, um, if you had figured this out sooner and um, I had been around, do you think that I would have been the one who.",success,strong,neutral,neutral
197,"no, um, I'm sorry, don't tell me, I don't think either answer would make me feel better.","no, um, I'm happy, don't tell me, I don't think either answer would make me feel better.",success,strong,sadness,sadness
198,I love you Phoebe.,I hate you Phoebe.,success,strong,joy,joy
199,So your brother's straigh huh? Seriously.,So your brother's straigh huh? Kidding.,success,strong,surprise,surprise
202,"I just came over to drop off…nothing. So that weekend kinda sucked, huh?","I just came over to drop off...nothing. So that weekend kinda rocked, huh?",success,strong,neutral,sadness
206,"Well, y'know, you and me, it had to end sometime.","Well, y'know, you and me, it had to start sometime.",success,strong,sadness,sadness
208,"Because of the weekend, we had a fight.","Because of the weekend, we had a reconciliation.",success,strong,sadness,sadness
211,"So, this isn't over?","So, this isn't settled?",success,strong,neutral,surprise
212,You are so cute!,You are so ugly!,success,strong,joy,joy
214,"No, it was a fight.","No, it was a celebration.",success,strong,neutral,neutral
215,You deal with it and move on!,You deal with it and freeze on!,success,strong,joy,anger
216,It's nothing to freak out about.,It's everything to freak out about.,success,strong,neutral,neutral
218,"Ohh, welcome to an adult relationship!","Ohh, dread to an adult relationship!",success,strong,joy,joy
223,So you like the short hair better.,So you like the long hair better.,success,strong,neutral,neutral
225,Can I tell you a little secret?,Can I ignore you a little secret?,success,strong,neutral,neutral
228,"Ohh, I'm gonna be on the news!","Ohh, I'm gonna be on the prison!",success,strong,joy,joy
230,"Oh, I am, my side still hurts from when you crashed into me yesterday.","Oh, I am, my side still heals from when you crashed into me yesterday.",success,strong,neutral,sadness
231,"Oh God, I’m so sorry.","Oh God, I’m so grateful.",success,strong,sadness,sadness
236,Got a job on a river boat?,Got a disaster on a river boat?,success,strong,neutral,neutral
237,"Y'know what I didn’t wear this suit for a year because you hated it. Well, guess what? You’re not my girlfriend anymore so...","Y'know what I didn’t wear this suit for a year because you loved it. Well, guess what? You’re not my girlfriend anymore so...",success,strong,anger,anger
238,"Oh I see, so this suit is making a point.","Oh I see, so this suit is making a mess.",success,strong,neutral,neutral
241,Oh absolutely. I like it even more on you than I did on Colonel Sanders.  Ross! Ross! I’m kidding!,Oh absolutely. I like it barely more on you than I did on Colonel Sanders. Ross! Ross! I’m kidding!,success,strong,neutral,joy
244,Yeah. Oh! Was how you invented the cotton gin?!,Yeah. Oh! Was how you invented the cotton waste?!,success,strong,neutral,surprise
250,Oh down please.  I-I hate to be a ball buster can I just do it?,Oh down please. I-I love to be a ball buster can I just do it?,success,strong,joy,sadness
251,Could you press up too please?,Could you relax up too please?,success,strong,neutral,neutral
252,Sure! I feel so bad for you. I broke my leg once too.,Sure! I feel so happy for you. I broke my leg once too.,success,strong,sadness,sadness
254,"Well, it’s a long story.","Well, it’s a long joke.",success,strong,neutral,neutral
255,It’s kind of embarrassing.,It’s kind of exciting.,success,strong,neutral,disgust
259,"Oh, let me guess some idiot on a cell phone wasn’t paying attention?","Oh, let me guess some idiot on a cell phone wasn’t paying negligence?",success,strong,neutral,surprise
264,Wait! What?! No!! Elevator!! No!,Go! What?! No!! Elevator!! No!,success,strong,anger,surprise
265,"Uh, you gotta press the button.","Uh, you gotta ignore the button.",success,strong,neutral,neutral
266,"Oh we did, and you still have all your lamps.","Oh we did, and you still have all your messes.",success,strong,neutral,neutral
268,"Oh dude, don't worry about it, I found an unattended maid's car.    We're way ahead of the game.","Oh dude, don't celebrate about it, I found an unattended maid's car. We're way ahead of the game.",success,strong,neutral,neutral
272,"Look, we have enough, just walk away.","Look, we have nothing, just walk away.",success,strong,fear,anger
273,"No, but I want...I want the pinecones!","No, but I want...I want the trash!",success,strong,joy,joy
274,There's a forest right outside.,There's a forest right inside.,success,strong,neutral,neutral
277,Thank you for a delightful stay.,Thank you for a delightful nightmare.,success,strong,joy,neutral
278,"Oh, my maple candy!","Oh, my maple mess!",success,strong,joy,joy
280,"Oh. God, crazy Chandler. He spun me...off...the...bed!","Oh. God, crazy Chandler. He placed me...off...the...bed!",success,strong,joy,surprise
281,Wow! Spinning that sounds like fun.,Wow! Spinning that sounds like awful.,success,strong,joy,joy
285,"Whoops.  Oh, hey, do you need help with that?","Yay. Oh, hey, do you need help with that?",success,strong,neutral,surprise
290,"Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or seen him?","Well, so, umm, anyway umm, I’ve been, I’ve been looking for my Father, and umm, have you heard from him, or ignored him?",success,strong,neutral,neutral
291,"Oh no, I-I’m sorry, I guess we lost track of everybody after high school.","Oh no, I-I’m glad, I guess we lost track of everybody after high school.",success,strong,sadness,sadness
292,"Oh, okay. Well, so tell me everything about my parents. Everything.","Oh, okay. Well, so hide me everything about my parents. Everything.",success,strong,neutral,neutral
293,"Ohh, well. Y'know we were always together, in fact the had a nickname for the three of us.","Ohh, well. Y'know we were always apart, in fact the had a nickname for the three of us.",success,strong,neutral,neutral
297,"Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.","Ohh, y'know I-I heard about what unfolded, that must have been just terrible for you, losing your mother that way.",success,strong,sadness,sadness
298,"Yeah, no, it was great.","Yeah, no, it was terrible.",success,strong,joy,joy
299,"Well, alright, we already tried feeding her, changing her,  burping her, oh try this one!","Well, alright, we already tried feeding her, changing her, burping her, oh avoid this one!",success,strong,sadness,joy
305,"Oh come on, what am I gonna do, its been hours and it  won’t stop crying.","Oh come on, what am I gonna do, its been hours and it won’t stop laughing.",success,strong,sadness,sadness
306,"Umm, she Rach, not it, she.","Umm, she Rach, definitely it, she.",success,strong,neutral,sadness
309,"Yeah, no kidding, this just proves no good can come from  having sex with Ross!","Yeah, no kidding, this just proves no bad can come from having sex with Ross!",success,strong,anger,anger
312,"Yeah I can!  And don’t think I don’t, because I do! I mean all the time, you betcha!","Yeah I can! And don’t think I don’t, because I do! I mean all the time, you nah!",success,strong,joy,joy
314,"Of course I have! What do you think, I’m some 30 year old virgin?","Of course I have! What do you think, I’m that 30 year old virgin?",success,strong,anger,anger
319,"I’m seeing this guy Roger, all right?","I’m seeing this guy nobody, all right?",success,strong,neutral,neutral
320,"He’s not perfect, but umm, I think maybe I should just get it over with.","He’s absolutely perfect, but umm, I think maybe I should just get it over with.",success,strong,neutral,neutral
324,I mean sex does not have to be a big deal!,I mean sex does not have to be a big tragedy!,success,strong,anger,joy
325,There shouldn’t be all this rules and restrictions!,There shouldn’t be all this rules and freedoms!,success,strong,anger,anger
326,"Y’know, people should be able to sleep with who ever they want, whenever","Y’know, nobody should be able to sleep with who ever they want, whenever",success,strong,neutral,neutral
327,Rachel! I’m never gonna think it’s okay for you to cheat on your husband!,Rachel! I’m never gonna think it’s okay for you to cheat on your friend!,success,strong,anger,anger
328,Oh what do you know? Virgin!,Oh what do you know? Expert!,success,strong,anger,joy
336,"So, I hear, you hate me!","So, I hear, you love me!",success,strong,anger,anger
339,And you got a 'hate' from that?! Your taking a big leap there...,And you got a 'love' from that?! Your taking a big leap there...,success,strong,fear,anger
341,"So, this is my idea: you and me spending some quality time together.","So, this is my problem: you and me spending some quality time together.",success,strong,neutral,neutral
345,"Awww, one of my students got an audition. I’m so proud.","Ugh, one of my students got an audition. I’m so proud.",success,strong,joy,joy
346,I was wondering if you would consider coaching me for it?,I was wondering if you would dismiss coaching me for it?,success,strong,neutral,neutral
348,"Oh it’s great, it’s a role on","Oh it’s awful, it’s a role on",success,strong,joy,joy
352,"You can’t ask us son, that’s cheating.","You can’t ask us stranger, that’s cheating.",success,strong,neutral,anger
354,"Well, he better not come by here. He can’t see the bride in the wedding dress.","Well, he better not stay by here. He can’t see the bride in the wedding dress.",success,strong,neutral,anger
355,"As I recall when we got married, I saw the groom in the wedding dress.","As I forget when we got married, I saw the groom in the wedding dress.",success,strong,joy,neutral
356,"But that was after the wedding, it’s not bad luck then.","But that was after the wedding, it’s definitely bad luck then.",success,strong,neutral,neutral
362,"I’m really glad you guys are okay but, I just keep thinking what would happen if-if you two  actually had hooked up.","I’m really worried you guys are okay but, I just keep thinking what would happen if-if you two actually had hooked up.",success,strong,neutral,sadness
364,"Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third grade!","Oh yeah, that was great. Thanks to you, the hottest cocktail waitress there is quitting to teach the third prison!",success,strong,anger,joy
365,I can’t believe it! He still hasn’t called.,I can’t doubt it! He still hasn’t called.,success,strong,anger,surprise
368,"What, he doesn’t like Josh?","What, he doesn’t like everyone?",success,strong,surprise,surprise
374,"We really weren’t great at being guys, but you know why?","We really weren’t terrible at being guys, but you know why?",success,strong,sadness,sadness
377,"Yeah, I lost it.","Yeah, I found it.",success,strong,sadness,sadness
378,"Y’know, I’m not gonna play anymore,  would you, can you finish my set?","Y’know, I’m not gonna play anymore, would you, can you finish my spot?",success,strong,neutral,neutral
382,I played bad on purpose guys.,I played great on purpose guys.,success,strong,joy,sadness
383,"Okay, so you were trying to play bad this whole time.","Okay, so you were trying to excel bad this whole time.",success,strong,surprise,neutral
385,"Oh, I was thinking about having people over for the game.","Oh, I was thinking about avoiding people over for the game.",success,strong,neutral,neutral
389,"Please, it’s a relief is what it is, is what it is.","No, it’s a relief is what it is, is what it is.",success,strong,neutral,sadness
390,"All right Pheebs, stick out your plate!","All right Pheebs, stick out your shield!",success,strong,neutral,joy
393,I don’t want to say.,I don’t want to yell.,success,strong,neutral,neutral
394,"Oh, come on! I don’t care! Come on! Whose is it?","Oh, come on! I don’t adore! Come on! Whose is it?",success,strong,joy,anger
397,"I’m sorry, but I just wrote the best dance song for your wedding. Check this out.","I’m sorry, but I just wrote the worst dance song for your wedding. Check this out.",success,strong,neutral,joy
400,Oh that’s so exciting!,Oh that’s so boring!,success,strong,joy,joy
402,"Oh but Mon, if you touch my guitar again I’ll have to pound on you for a little bit.","Oh but Mon, if you touch my guitar rarely I’ll have to pound on you for a little bit.",success,strong,anger,neutral
403,"Fair enough, now go get ready!","Fair unacceptable, now go get ready!",success,strong,neutral,neutral
405,"My best shoes, so good to me.","My best shoes, so bad to me.",success,strong,joy,joy
407,"Down at the heel, holes in the toes.","Up at the heel, holes in the toes.",success,strong,joy,neutral
409,"My feet’s best friends, pals to the end.","My feet’s best friends, pals to the beginning.",success,strong,joy,joy
410,With them I’m one hot chicky.,With them I’m one cold chicky.,success,strong,joy,joy
411,"Though late one night, not much light, I....","Though early one night, not much light, I....",success,strong,neutral,neutral
412,I stepped in something icky.,I stepped in something pleasant.,success,strong,joy,sadness
413,"Sticky shoes, sticky shoes, always make me smile. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.","Sticky shoes, sticky shoes, always make me frown. Sticky shoes, sticky shoes, next time I’ll.... avoid the..... pillleeeee.",success,strong,joy,joy
419,"Look, I’m just gonna be across the hall, we can still do all the same stuff.","Look, I’m just gonna be across the world, we can still do all the same stuff.",success,strong,neutral,neutral
420,Yeah but we won’t be able to like get up in the middle of the night and have those long talks about our feelings and the future.,Yeah but we won’t be unable to like get up in the middle of the night and have those long talks about our feelings and the future.,success,strong,sadness,sadness
421,Not once did we do that.,Not always did we do that.,success,strong,neutral,neutral
426,"Oh yeah? Well, how’d she take it?","Oh yeah? Well, how’d she reject it?",success,strong,neutral,neutral
427,"Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or sad.","Really well. Yeah. Surprisingly well. Yeah, she didn’t cry. She wasn’t angry or happy.",success,strong,neutral,neutral
429,"Okay, okay, but Rachel’s gonna be here too, can’t I just ask her this stuff?","Okay, okay, but Rachel’s gonna be here too, can’t I just ignore her this stuff?",success,strong,neutral,neutral
437,Monica? What time is it?,Monica? What nonsense is it?,success,strong,neutral,neutral
439,But it's dark out.,But it's bright out.,success,strong,neutral,neutral
440,"Well that's because you always sleep to noon, silly! This is what 9 looks like.","Well that's because you always sleep to dawn, silly! This is what 9 looks like.",success,strong,neutral,neutral
445,Y'know what if we went away for a whole weekend?,Y'know what if we went home for a whole weekend?,success,strong,neutral,neutral
446,Y'know we'd have no interruptions and we could be naked the entire time.,Y'know we'd have no distractions and we could be naked the entire time.,success,strong,joy,neutral
447,All weekend? That's a whole lotta naked.,All weekday? That's a whole lotta naked.,success,strong,surprise,surprise
448,"Yeah, I can say that I have a conference and you can say you have a chef thing.","Yeah, I can say that I have a comedian and you can say you have a chef thing.",success,strong,neutral,neutral
449,"Ohh, I've always wanted to go to this culinary fair that they have in Jersey!","Ohh, I've always wanted to go to this culinary fair that they have in nowhere!",success,strong,joy,joy
451,Wait! What about Joey?,Ignore! What about Joey?,success,strong,neutral,surprise
452,"Oh umm, there’s also a book here by a woman named Wendy Bagina.  What is that?","Oh umm, there’s only a book here by a woman named Wendy Bagina. What is that?",success,strong,neutral,neutral
453,Sounds like two people are really enjoying the Dewey decimal system.,Sounds like two people are really hating the Dewey decimal system.,success,strong,neutral,joy
458,"Oh you know uh Kash, really liked you the other day. He said he thought you were charming.","Oh you know uh Kash, really liked you the other night. He said he thought you were charming.",success,strong,neutral,joy
459,Okay I-I just have to stop by my place first.,Okay I-I just have to stop by my place last.,success,strong,neutral,neutral
460,"To tape the game? You do this every time Ross, you’re","To erase the game? You do this every time Ross, you’re",success,strong,disgust,neutral
461,"No-no, I-I have to see if this apartment became available.","No-no, I-I have to see if this apartment became unavailable.",success,strong,neutral,neutral
471,Look what I got! Look what I got! Look what I got!  Can you believe they make these for little people?,Look what I got! Look what I got! Look what I got! Can you doubt they make these for little people?,success,strong,surprise,surprise
474,"Oh, that is so sweet!","Oh, that is so bitter!",success,strong,joy,joy
475,I know! Phoebe is gonna love dressing them in these!,I know! Phoebe is gonna hate dressing them in these!,success,strong,joy,joy
476,"Huh. Except, Phoebe’s not gonna be the one that gets to dress them.","Huh. Including, Phoebe’s not gonna be the one that gets to dress them.",success,strong,neutral,neutral
477,Because she’s not gonna get to keep the babies.,Because she’s not gonna get to keep the problems.,success,strong,sadness,sadness
480,"Unless, we give her all gifts she can use after she’s done being pregnant.","Unless, we give her all gifts she can discard after she’s done being pregnant.",success,strong,joy,neutral
481,"Like-like umm, regular coffee, Tequila.","Like-like umm, exotic coffee, Tequila.",success,strong,neutral,neutral
482,"Oh, and somebody can get those leather pants she’s always wanted!","Oh, and somebody can get those leather pants she’s always disliked!",success,strong,joy,joy
483,"Oh, she’s gonna love that!","Oh, she’s gonna hate that!",success,strong,joy,joy
485,"Yes your honor, and here are, are forms, all filled out.","Yes your honor, and here are, are mistakes, all filled out.",success,strong,neutral,neutral
486,So based on your petition you are seeking an annulment on the grounds that Mr. Geller is mentally unstable.,So based on your petition you are seeking an annulment on the grounds that Mr. Gandhi is mentally unstable.,success,strong,neutral,neutral
487,"Fine, I’m mentally unstable.","Terrible, I’m mentally unstable.",success,strong,anger,anger
488,And based on the fact that Mr. Geller is intravenous drug user.,And based on the fact that Mr. Guardian is intravenous drug user.,success,strong,neutral,neutral
490,"Uh yes, heroin and crack.","Uh yes, heroin and candy.",success,strong,neutral,neutral
491,Crack isn’t even an intravenous drug!,Crack isn’t even an intravenous vitamin!,success,strong,anger,anger
493,Now it also says here that you lied about your sexual preference before marriage?,Now it also says here that you lied about your sexual preference before divorce?,success,strong,neutral,surprise
495,"Ross, please, I found the magazines!","Ross, please, I found the bills!",success,strong,sadness,anger
496,Phoebe just because I'm alone doesn’t mean I wanna walk around naked.,Phoebe just because I'm alone doesn’t mean I wanna walk around draped.,success,strong,neutral,neutral
498,Uh-huh! Why do you think it takes me so long to answer the door?,Uh-huh! Why do you think it takes me so quickly to answer the door?,success,strong,joy,surprise
499,"I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own baby!","I know, I lied! I didn’t want her to think I was a terrible mother! I can’t even see my own stranger!",success,strong,sadness,sadness
501,"Oh. Oh, it’s beautiful. I see it now.","Oh. Oh, it’s ugly. I see it now.",success,strong,joy,joy
507,"That’s it? Well I saw that! Ohh-ohh-oh, thank you.","That’s it? Well I saw that! Ohh-ohh-oh, curse you.",success,strong,joy,joy
509,Wow! I can’t believe that’s our baby.,Ugh! I can’t believe that’s our baby.,success,strong,surprise,surprise
510,"Yeah, that’s our baby.","Yeah, that’s our burden.",success,strong,joy,joy
512,"We were playing Gin? Y'know if we were a couple, we could play this game naked.","We were arguing Gin? Y'know if we were a couple, we could play this game naked.",success,strong,joy,neutral
515,"Okay, all right, I think you’re great, I think you’re sweet, and you’re smart, and I love you.","Okay, all right, I think you’re great, I think you’re sweet, and you’re smart, and I detest you.",success,strong,joy,joy
519,Let me tell you about this chick I scored with last night! Oh no wait a minute that was you!,Let me tell you about this chick I scored with last dream! Oh no wait a minute that was you!,success,strong,joy,joy
520,"Hey, check me out, I’m a slut!","Hey, check me out, I’m an angel!",success,strong,joy,anger
522,Oh I can’t. Dr. Roger is coming over again.,Oh I can’t. Dr. Roger is leaving over again.,success,strong,neutral,neutral
530,"Great! It’s so amazing! I mean, last time Dr. Roger came over, I was","Great! It’s so terrible! I mean, last time Dr. Roger came over, I was",success,strong,joy,joy
