index,text,gold_label,pred_label,target_label,pivot_word_clean,pivot_type,pivot_source,pivot_reason,pivot_keep,candidate_words,candidate_types,candidate_scores,intervention_status,modified_text,replacement_word,replacement_found,used_for_eval,rewrite_strategy,success_subtype,emotion_shift_quality,notes
59,"And I remember thinking to myself, finally.  I am as happy as I am supposed to be.",sad,sad,hap,remember,generic,generic_fallback,no typed cue found; best generic candidate used,True,remember | supposed | myself | thinking | finally | be | and | to | am | i,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.5559 | 0.4729 | 0.2881 | 0.2698 | 0.1186 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"And I appreciate thinking to myself, finally. I am as happy as I am supposed to be.",appreciate,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Appreciate' conveys joy and gratitude, shifting the tone from sad reminiscence to present happiness."
60,"No, it's good.",hap,hap,ang,good,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,good | no,implicit_appraisal | generic,7.6147 | -999.0000,success,It's good.,"[removed: No,]",True,True,negation_removal,minimal_context_success,gold_cue_removed,"Negation 'No,' removed only."
61,"That's what girls like, right?",hap,hap,ang,right,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,right | girls | like | that | what,implicit_appraisal | generic | generic | generic | generic,5.0612 | 0.7664 | -999.0000 | -999.0000 | -999.0000,success,"That's what girls like, wrong?",wrong,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'wrong' implies disagreement or irritation, shifting from positive to negative emotion."
62,He was out here when it broke.,sad,neu,hap,broke,generic,generic_fallback,no typed cue found; best generic candidate used,True,broke | when | here | it | he | was | out,generic | generic | generic | generic | generic | generic | generic,0.1098 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,He was out here when it amazed.,amazed,True,True,minimal_context_edit,strict_success,strong_emotion_shift,"'Amazed' carries a 'hap' emotion by conveying wonder and delight, shifting the mood from disappointment to joy."
63,"Well, from her perspective, I mean, why else would I come here?",neu,hap,ang,perspective,generic,generic_fallback,no typed cue found; best generic candidate used,True,perspective | else | come | mean | would | i | her | from | why | here,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.5351 | 0.3507 | 0.1959 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"Well, from her anger, I mean, why else would I come here?",anger,True,True,strict_word_replace,strict_success,strong_emotion_shift,"The word 'anger' directly carries the emotion of irritation, shifting the neutral tone to an angry one."
64,It's just some little instinctual time-release firecracker that went off inside them and all this one they turn around and form a line as long as the California coast and just started swimming.,hap,hap,ang,instinctual,generic,generic_fallback,no typed cue found; best generic candidate used,True,instinctual | firecracker | form | swimming | started | inside | it | just | around | and,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6105 | 0.3821 | 0.3682 | 0.2637 | 0.1985 | 0.1757 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,It's just some little furious time-release firecracker that went off inside them and all this one they turn around and form a line as long as the California coast and just started swimming.,furious,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Furious' carries a strong angry emotion, shifting from 'hap' to 'ang.'"
65,[LAUGHTER] I wonder if they can hear me talk or if they can feel the vibration in the sand when we are moving around,hap,hap,ang,feel,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,feel | laughter | wonder | vibration | hear | can | around | when | are,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic,5.1306 | 0.9832 | 0.4662 | 0.3472 | 0.1032 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,[LAUGHTER] I wonder if they can hear me talk or if they can resent the vibration in the sand when we are moving around,resent,True,True,strict_word_replace,strict_success,partial_emotion_shift,"'Resent' implies strong displeasure, shifting emotion from 'happy' to 'angry.'"
66,"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and",neu,fru,ang,hard,implicit_appraisal,implicit_appraisal_candidate,selected implicit appraisal cue,True,hard | friends | tried | bar | really | with | is | of | have | just,implicit_appraisal | generic | generic | generic | generic | generic | generic | generic | generic | generic,5.5735 | 0.3644 | 0.3376 | 0.1985 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"L.A. is really unbearable. I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and",unbearable,True,True,strict_word_replace,strict_success,partial_emotion_shift,"The word 'unbearable' introduces a sense of irritation and frustration, shifting the emotion from neutral to angry."
67,"Yeah, have you ever like lived with someone else before?",neu,sad,ang,someone,generic,generic_fallback,no typed cue found; best generic candidate used,True,someone | lived | else | yeah | ever | before | have | like | with,generic | generic | generic | generic | generic | generic | generic | generic | generic,0.6740 | 0.5338 | 0.3154 | 0.1921 | 0.1710 | 0.1670 | -999.0000 | -999.0000 | -999.0000,success,"Yeah, have you ever like lived with an enemy before?",enemy,True,True,strict_word_replace,minimal_context_success,strong_emotion_shift,"The word 'enemy' introduces irritation and conflict, shifting from neutral to angry emotion."
68,"It's going to be at least six months, probably a year. I tried.",fru,sad,hap,year,generic,generic_fallback,no typed cue found; best generic candidate used,True,year | tried | months | least | probably | six | be | at | a | going,generic | generic | generic | generic | generic | generic | generic | generic | generic | generic,0.5545 | 0.3793 | 0.3598 | 0.3443 | 0.3211 | 0.1663 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,"It's going to be at least six months, probably a celebration. I tried.",celebration,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Celebration' conveys 'hap' by suggesting a sense of joy and accomplishment, shifting from frustration."
69,What flashlight?,neu,neu,ang,flashlight,generic,generic_fallback,no typed cue found; best generic candidate used,True,flashlight | what,generic | generic,0.7483 | -999.0000,success,What anger?,anger,True,True,strict_word_replace,strict_success,strong_emotion_shift,"'Anger' directly conveys irritation, shifting from neutral to angry emotion."
70,I'll tell them I'm sick and that you can't leave something.,sad,fru,hap,leave,event_based_cue,event_based_candidate,selected event-based cue,True,leave | i'll | sick | can't | i'm | tell | something | and | them | you,event_based_cue | generic | generic | generic | generic | generic | generic | generic | generic | generic,4.5585 | 0.3801 | 0.2940 | 0.2728 | 0.1306 | 0.0826 | -999.0000 | -999.0000 | -999.0000 | -999.0000,success,I'll tell them I'm sick and that you leave something.,[removed: can't],True,True,negation_removal,minimal_context_success,no_emotion_signal_detected,Negation 'can't' removed only.
