index,split,text,gold_label,pred_label,target_label,pivot_word,pivot_word_clean,pivot_type,raw_score,adjusted_score,token_indices,low_confidence,ig_unstable,intervention_type,intervention_status,modified_text,notes,replacement_word,replacement_found,used_for_eval,rewrite_strategy,success_subtype
27,test,"Like I know I paid last month, but it hasn't been paid and you charged me a late fee.",ang,fru,fru,hasn't,hasn't,word,0.8180394470691681,0.5726276129484176,11 12,False,True,weak,success,"Like I know I paid last month, but it isn't been paid and you charged me a late fee.",Replacing 'hasn't' with 'isn't' reduces the emotional intensity slightly while preserving the sentence's original meaning. This weakens the sense of finality without reversing it.,isn't,True,True,strict_word_replace,strict_success
28,test,"Well, apparently nobody else can go.",sad,neu,neu,apparently,apparently,word,0.048129815608263,0.048129815608263,3,False,True,weak,success,"Well, seemingly nobody else can go.","Replaced 'apparently' with 'seemingly' to reduce emotional emphasis, keeping the certainty milder without reversing the emotion.",seemingly,True,True,strict_word_replace,strict_success
31,test,Why do I need flight insurance?  Why don't you guys just guarantee that you're going to get the stuff that I leave with to my destination?,fru,fru,fru,guarantee,guarantee,word,0.127781867980957,0.0894473075866699,15,False,False,weak,success,Why do I need flight insurance? Why don't you guys just assure that you're going to get the stuff that I leave with to my destination?,"The word 'assure' is less emotionally intense than 'guarantee,' making it a suitable milder alternative while maintaining the sentence's original structure.",assure,True,True,strict_word_replace,strict_success
32,test,"For heaven's sake Augie, wherever I am I always wanted to be with you.",sad,sad,sad,wanted,wanted,word,0.2780745327472687,0.2780745327472687,13,False,True,weak,success,"For heaven's sake Augie, wherever I am I always hoped to be with you.",The word 'hoped' reduces the intensity of 'wanted' while maintaining a similar sentiment without strongly reversing the emotion.,hoped,True,True,strict_word_replace,strict_success
38,test,"Yeah, well thanks for your help.",ang,hap,hap,thanks,thanks,word,0.7959579825401306,0.5571705877780914,4,False,True,weak,success,"Yeah, well acknowledge for your help.","Replacing 'thanks' with 'acknowledge' lessens the positive emotional intensity, making the expression more neutral without reversing the sentiment.",acknowledge,True,True,strict_word_replace,strict_success
39,test,"You can't make fun of me because I'm not going to school, though, because I'm going to be working though.",exc,fru,fru,school,school,word,0.1541659422218799,0.1079161595553159,14 15,False,True,weak,success,"You can't make fun of me because I'm not going to class, though, because I'm going to be working though.","The word 'class' is a more specific and less emotionally charged word compared to 'school', slightly reducing the emotional intensity of the sentence.",class,True,True,strict_word_replace,strict_success
40,test,"living near the U.S.C. campus by myself, not going to school there. just really pathetic and sad.",exc,sad,sad,sad,sad,word,0.8314993381500244,0.8314993381500244,24 25,False,True,weak,success,"living near the U.S.C. campus by myself, not going to school there. just really pathetic and down.","The word 'down' conveys a milder and less emotionally intense state compared to 'sad,' aligning with the goal to weaken the emotional intensity without strong reversal.",down,True,True,strict_word_replace,strict_success
41,test,Well We will see them this year.,neu,neu,neu,will,will,word,0.4114766716957092,0.2880336701869964,3,False,True,weak,success,Well We might see them this year.,"Replaced 'will' with 'might' to soften the certainty, making the statement less assertive and more neutral.",might,True,True,strict_word_replace,strict_success
42,test,You really do need to develop uh a clearer head.,ang,fru,fru,need,need,word,0.578668475151062,0.578668475151062,4,False,True,weak,success,You really do ought to develop uh a clearer head.,"Replaced 'need' with 'ought' to reduce the emotional intensity from a necessity to a suggestion, making the statement milder.",ought,True,True,minimal_context_edit,strict_success
43,test,"Okay, so where?, okay, all right, so where did you uh- locate your your bill?",neu,neu,neu,bill,bill,word,0.3557477369904518,0.2490234158933162,20 21,False,True,weak,success,"Okay, so where?, okay, all right, so where did you uh- locate your your receipt?","Replacing 'bill' with 'receipt' slightly moderates the emotional intensity, maintaining a more neutral tone while preserving the original structure.",receipt,True,True,strict_word_replace,strict_success
44,test,Well it gave him a lot of pleasure and it didn't hurt me.,neu,neu,neu,hurt,hurt,word,0.6463253498077393,0.4524277448654174,13,False,True,weak,success,Well it gave him a lot of pleasure and it didn't bother me.,"Replacing 'hurt' with 'bother' weakens the emotional intensity, making it more neutral without reversing the sentiment of the sentence.",bother,True,True,strict_word_replace,strict_success
45,test,You know the area better than I do.,exc,neu,neu,area,area,word,0.6293181777000427,0.4405227243900299,4,False,True,weak,success,You know the location better than I do.,"Replacing 'area' with 'location' weakens the emotional connection, providing a more neutral alternative without significantly changing the sentence's meaning.",location,True,True,strict_word_replace,strict_success
46,test,I don't want to -- the kids.  You've got to take care of them.  You've got- you've got to-,sad,sad,sad,kids,kids,word,0.6735905259847641,0.4715133681893348,8 9,False,True,weak,success,I don't want to -- the children. You've got to take care of them. You've got- you've got to-,"'Children' is a more formal and neutral term compared to 'kids,' which slightly reduces emotional intensity without reversing the sentiment.",children,True,True,strict_word_replace,strict_success
47,test,"For heavens sake, Augie, whatever I am doing, I'd rather it be with you.",sad,sad,sad,i'd,i'd,word,0.2837399691343307,0.1986179783940315,13 14,False,True,weak,success,"For heavens sake, Augie, whatever I am doing, I prefer it be with you.",Replacing 'I'd rather' with 'I prefer' reduces the emotional intensity while keeping the sentiment positive.,prefer,True,True,minimal_context_edit,minimal_context_success
50,test,Isn't there anything you can do?  Just call over and ask them if I can go to the front of the line in the other line.,ang,fru,fru,isn't,isn't,word,0.454338327050209,0.3180368289351463,1 2,False,True,weak,success,Is there anything you can do? Just call over and ask them if I can go to the front of the line in the other line.,Replacing 'isn't' with 'is' reduces the negative emotional intensity while maintaining the original question structure.,is,True,True,strict_word_replace,strict_success
52,test,So you're not going to leave me.,exc,sad,sad,leave,leave,word,0.7970332503318787,0.557923275232315,7,False,True,weak,success,So you're not going to skip me.,"The word 'skip' carries less emotional weight than 'leave,' thereby weakening the emotional intensity without reversing the sentiment.",skip,True,True,strict_word_replace,strict_success
54,test,What I was just saying.,exc,neu,neu,saying,saying,word,1.147036373615265,1.147036373615265,5 6,False,True,weak,success,What I was just mentioning.,"Replacing ""saying"" with ""mentioning"" reduces the emotional intensity, keeping the expression of the idea more neutral and factual.",mentioning,True,True,strict_word_replace,strict_success
56,test,"I don't know, I'm just--I'm trying to think of something.",fru,fru,fru,trying,trying,word,0.5315713286399841,0.5315713286399841,12,False,True,weak,success,"I don't know, I'm just--I'm considering to think of something.","The word 'considering' is less intense emotionally than 'trying,' offering a more neutral tone without changing the sentence structure.",considering,True,True,strict_word_replace,strict_success
57,test,I can't see where the issue would be. so,neu,neu,neu,issue,issue,word,0.3167966902256012,0.2217576831579208,7,False,True,weak,success,I can't see where the concern would be. so,"The word 'issue' suggests a problem, while 'concern' is milder and more neutral.",concern,True,True,strict_word_replace,strict_success
58,test,Absolutely. And I just don't want that to happen to you anymore.,neu,sad,sad,happen,happen,word,0.4375638961791992,0.3062947273254394,11,False,True,weak,success,Absolutely. And I just don't want that to occur to you anymore.,"The word 'occur' is less emotionally intense compared to 'happen,' creating a more neutral tone while maintaining the original sentence structure.",occur,True,True,strict_word_replace,strict_success
59,test,"And I remember thinking to myself, finally.  I am as happy as I am supposed to be.",sad,sad,sad,remember,remember,word,0.5558921098709106,0.5558921098709106,3,False,True,weak,success,"And I recall thinking to myself, finally. I am as happy as I am supposed to be.","The word 'recall' is less emotionally intense than 'remember,' weakening the overall emotional impact without significantly changing the meaning.",recall,True,True,strict_word_replace,strict_success
61,test,"That's what girls like, right?",hap,hap,hap,girls,girls,word,0.7663705945014954,0.5364594161510468,4,False,True,weak,success,"That's what people like, right?","The word ""people"" is more neutral and inclusive, reducing the specific emotional association tied to ""girls.""",people,True,True,strict_word_replace,strict_success
62,test,He was out here when it broke.,sad,neu,neu,broke,broke,word,0.3071638792753219,0.2150147154927253,7 8,False,True,weak,success,He was out here when it stopped.,The word 'stopped' conveys an action occurring without the emotional intensity of 'broke.',stopped,True,True,strict_word_replace,strict_success
64,test,It's just some little instinctual time-release firecracker that went off inside them and all this one they turn around and form a line as long as the California coast and just started swimming.,exc,hap,hap,instinctual,instinctual,word,0.6105361729860306,0.6105361729860306,6 7,False,True,weak,success,It's just some little natural time-release firecracker that went off inside them and all this one they turn around and form a line as long as the California coast and just started swimming.,"The word 'natural' is a milder, more neutral alternative to 'instinctual,' which implicitly reduces emotional intensity associated with spontaneity and urgency.",natural,True,True,strict_word_replace,strict_success
66,test,"L.A. is really hard.  I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and",neu,fru,fru,hard,hard,word,0.482501782476902,0.3377512477338313,7 8,False,False,weak,success,"L.A. is really tough. I mean, have you tried like just going into a bar a couple of times to make friends with people who work there? and","The word 'tough' maintains the challenging aspect of 'hard' but with slightly less intensity, making it a milder alternative without reversing the original meaning.",tough,True,True,strict_word_replace,strict_success
67,test,"Yeah, have you ever like lived with someone else before?",neu,sad,sad,someone,someone,word,0.6740093231201172,0.471806526184082,9,False,True,weak,success,"Yeah, have you ever like lived with anyone else before?","Replacing 'someone' with 'anyone' slightly reduces the personal or emotional specificity, making the question more general and neutral.",anyone,True,True,strict_word_replace,strict_success
68,test,"It's going to be at least six months, probably a year. I tried.",fru,sad,sad,year,year,word,0.6958228647708893,0.4870760053396225,13 14,False,True,weak,success,"It's going to be at least six months, probably a while. I tried.",Replacing 'year' with 'while' makes the timeframe less specific and reduces emotional intensity without altering the overall meaning of the sentence.,while,True,True,strict_word_replace,strict_success
70,test,I'll tell them I'm sick and that you can't leave something.,sad,fru,fru,tell,tell,word,0.0825993493199348,0.0578195445239543,3,False,True,weak,success,I'll suggest them I'm sick and that you can't leave something.,"Using 'suggest' instead of 'tell' reduces the directness and intensity of the statement, making it more mild and less commanding.",suggest,True,True,strict_word_replace,strict_success
71,test,"It's not that complicated.  We come down here, the grunions arrive, they do their little fish thing.  We say ooh, awe, look at the little fish.  And then they go home and we go home.",fru,neu,neu,complicated,complicated,word,0.5366148466782761,0.5366148466782761,5 6,False,True,weak,success,"It's not that involved. We come down here, the grunions arrive, they do their little fish thing. We say ooh, awe, look at the little fish. And then they go home and we go home.",Replacing 'complicated' with 'involved' maintains the original sentence's meaning but with a milder emotional intensity.,involved,True,True,strict_word_replace,strict_success
72,test,"Well, what if one of us dies, does the other laugh then?",neu,sad,sad,dies,dies,word,1.0765611976385117,0.7535928383469581,8 9,False,True,weak,success,"Well, what if one of us leaves, does the other laugh then?",Replacing 'dies' with 'leaves' reduces the emotional intensity by suggesting a less permanent situation.,leaves,True,True,strict_word_replace,strict_success
73,test,"You should just approach her like that.  Hey, will you bear my children?",hap,ang,ang,children,children,word,0.2504367977380752,0.1753057584166526,16 17,False,True,weak,success,"You should just approach her like that. Hey, will you bear my friend?",Replacing 'children' with 'friend' weakens the intensity and emotional depth of the statement while maintaining a similar semantic context.,friend,True,True,strict_word_replace,strict_success
74,test,"Twice is every time we've tried, that's ever",ang,ang,ang,ever,ever,word,0.219102069735527,0.1533714488148689,12,False,True,weak,success,"Twice is every time we've tried, that's always","The word 'always' is less emotionally intense than 'ever', reducing the emotional charge without reversing it.",always,True,True,strict_word_replace,strict_success
78,test,"Yeah, I suppose I have been.  But it's going from me.",sad,sad,sad,suppose,suppose,word,0.35680091381073,0.2497606396675109,4,False,True,weak,success,"Yeah, I think I have been. But it's going from me.","The word 'think' is less emotionally charged than 'suppose,' which reduces the emotional intensity without altering the sentence's meaning significantly.",think,True,True,strict_word_replace,strict_success
79,test,"Look, it's a beautiful day outside, why are we arguing?",fru,fru,fru,arguing,arguing,word,0.7702836394309998,0.7702836394309998,13 14,False,True,weak,success,"Look, it's a beautiful day outside, why are we disagreeing?","The word 'disagreeing' is a milder expression than 'arguing,' reducing the emotional intensity without reversing the sentiment.",disagreeing,True,True,strict_word_replace,strict_success
80,test,You have a wonderful day.,neu,neu,neu,day,day,word,0.773216724395752,0.5412517070770263,5 6,False,True,weak,success,You have a wonderful time.,"Replacing 'day' with 'time' weakens the specificity and emotional intensity slightly, keeping the sentiment positive but making it more neutral.",time,True,True,strict_word_replace,strict_success
81,test,"Yeah, well, absolutely.  What we can -- let's just go ahead and just do a basic diagnostic of your system first off, okay.  Can you go down to your start button?",neu,neu,neu,absolutely,absolutely,word,0.4346489235758781,0.4346489235758781,5 6,False,True,weak,success,"Yeah, well, sure. What we can -- let's just go ahead and just do a basic diagnostic of your system first off, okay. Can you go down to your start button?","The replacement word 'sure' weakens the strong affirmation of 'absolutely' to a more neutral confirmation, reducing emotional intensity while maintaining the sentence's original intent.",sure,True,True,strict_word_replace,strict_success
84,test,"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant job.  I can't get -- -- the restaurant gig.  No one will give me anything.",fru,fru,fru,job,job,word,0.1870319694280624,0.1309223785996437,27 28,False,False,weak,success,"Yeah, yeah.  Well, hello.  That's what I'm doing too.  But I can't get the restaurant position.  I can't get -- -- the restaurant gig.  No one will give me anything.","The word 'position' has a neutral tone compared to 'job', which may carry more emotional weight due to personal circumstances.",position,True,True,strict_word_replace,strict_success
86,test,If I- If you- Will you stick with it?,neu,neu,neu,will,will,word,0.1622803062200546,0.1135962143540382,7,False,False,weak,success,If I- If you- Might you stick with it?,"Replacing 'will' with 'might' weakens the emotional certainty and makes the question more tentative, thus softening the emotional intensity of commitment implied by the original.",might,True,True,strict_word_replace,strict_success
89,test,Okay?  Can you tell me what that says?,neu,fru,fru,says,says,word,0.1482868450693786,0.103800791548565,10 11,False,True,weak,success,Okay? Can you tell me what that reads?,"The word ""reads"" is less emotionally charged than ""says,"" which may suggest a more human-like communication. ""Reads"" refers more neutrally to the action of interpreting written content.",reads,True,True,strict_word_replace,strict_success
90,test,So what?  I'm not fast with women.,ang,fru,fru,women,women,word,0.2757535895652836,0.1930275126956985,10 11,False,True,weak,success,So what? I'm not fast with dating.,"The word 'dating' is more neutral and less emotional than 'women' in this context, mildly reducing emotional intensity without changing the overall structure.",dating,True,True,strict_word_replace,strict_success
91,test,"Oh, no, of course, our flashlight.  Me flashlight is to you flashlight, naturally.",exc,neu,neu,course,course,word,0.4581490717828274,0.3207043502479791,6 7,False,True,weak,success,"Oh, no, of sure, our flashlight. Me flashlight is to you flashlight, naturally.","The word 'sure' is a milder and more neutral alternative to 'course', weakening the emotional intensity without reversing the meaning.",sure,True,True,strict_word_replace,strict_success
93,test,"This is crap.  You know, I don't even know why I'm in this state.  Screw California.  I'm out of here.",fru,fru,fru,even,even,word,0.0255068130791187,0.0178547691553831,12,False,False,weak,success,"This is crap. You know, I don't really know why I'm in this state. Screw California. I'm out of here.",Replacing 'even' with 'really' reduces the emotional intensity by making the statement less emphatic and more neutral.,really,True,True,strict_word_replace,strict_success
95,test,So where are you going to have your wedding?,hap,hap,hap,wedding,wedding,word,0.9278733432292938,0.9278733432292938,9 10,False,True,weak,success,So where are you going to have your celebration?,Replacing 'wedding' with 'celebration' maintains the intent of an event but with less emotional specificity than a wedding.,celebration,True,True,strict_word_replace,strict_success
96,test,We never do.  Have we ever?  We never have.,fru,fru,fru,ever,ever,word,0.3086270093917846,0.2160389065742492,8 9,False,True,weak,success,We never do. Have we actually? We never have.,Replacing 'ever' with 'actually' maintains the questioning tone while slightly reducing the emotional intensity of existential questioning.,actually,True,True,strict_word_replace,strict_success
100,test,Do you still feel like that?,neu,sad,sad,feel,feel,word,0.6406667232513428,0.4484667062759399,4,False,True,weak,success,Do you still think like that?,"The word 'think' is a milder alternative to 'feel,' which generally carries less emotional intensity, thereby weakening the emotional content without reversing it.",think,True,True,strict_word_replace,strict_success
101,test,You better turn that off I think.,fru,ang,ang,turn,turn,word,0.6676775217056274,0.4673742651939391,3,False,True,weak,success,You better switch that off I think.,"The word 'switch' is milder than 'turn', reducing emotional intensity without altering the original structure or meaning significantly.",switch,True,True,strict_word_replace,strict_success
102,test,Do you remember that awful scene we had in Venice?,exc,hap,hap,venice,venice,word,0.5435540452599525,0.3804878316819667,10 11,False,True,weak,success,Do you remember that awful scene we had in Europe?,"Replacing 'Venice' with 'Europe' maintains the geographic context but generalizes it, slightly reducing emotional specificity tied to a personal memory in a specific location.",europe,True,True,strict_word_replace,strict_success
103,test,I'm going to need to go overseas for a while.,sad,sad,sad,overseas,overseas,word,0.5893958806991577,0.4125771164894103,8,False,True,weak,success,I'm going to need to go abroad for a while.,"The replacement 'abroad' is a milder, more neutral alternative to 'overseas' and reduces the emotional intensity without altering the sentence structure.",abroad,True,True,strict_word_replace,strict_success
104,test,"I mean, Think about people in Kansas, they've got to get like you know plane tickets and hotel reservations just to see this.  We're just forty minutes away.  It's just too good of an opportunity to pass up.",exc,hap,hap,pass,pass,word,0.4173983037471771,0.292178812623024,46,False,True,weak,success,"I mean, Think about people in Kansas, they've got to get like you know plane tickets and hotel reservations just to see this. We're just forty minutes away. It's just too good of an opportunity to miss up.","Replacing 'pass' with 'miss' reduces the intensity of the urgency, resulting in a milder expression.",miss,True,True,strict_word_replace,strict_success
105,test,Take off our shoes?,exc,neu,neu,shoes,shoes,word,1.0709815323352814,0.7496870726346969,4 5,False,True,weak,success,Take off our sandals?,"The word 'sandals' is more casual and carries less emotional intensity than 'shoes,' which can feel more personal or significant in certain contexts.",sandals,True,True,strict_word_replace,strict_success
107,test,"It must be really, really hard to lose a child.",sad,sad,sad,lose,lose,word,0.3900738358497619,0.2730516850948333,9,False,True,weak,success,"It must be really, really hard to miss a child.","Replacing ""lose"" with ""miss"" reduces the emotional intensity while maintaining a similar context of absence.",miss,True,True,strict_word_replace,strict_success
109,test,"Oh they had some pretty progressive cancer,",sad,sad,sad,cancer,cancer,word,0.4650498032569885,0.3255348622798919,7 8,False,False,weak,success,"Oh they had some pretty progressive illness,","The word 'illness' is a milder and more neutral term compared to 'cancer', reducing the emotional intensity without removing the idea of health-related issues.",illness,True,True,strict_word_replace,strict_success
110,test,Must you be inspired?,ang,ang,ang,must,must,word,0.7659147381782532,0.5361403167247771,1,False,True,weak,success,Should you be inspired?,Replacing 'must' with 'should' weakens the emotional intensity of obligation while keeping the sentence's meaning intact.,should,True,True,strict_word_replace,strict_success
112,test,I could hear him right through the floor of my room.,sad,sad,sad,hear,hear,word,0.525024950504303,0.367517465353012,3,False,True,weak,success,I could notice him right through the floor of my room.,Replaced 'hear' with 'notice' to reduce the emotional intensity. 'Notice' is more neutral and implies awareness without the strong sensory implication of 'hear.',notice,True,True,strict_word_replace,strict_success
117,test,Do you remember that awful scene we had in Venice?,exc,hap,hap,venice,venice,word,0.5435540452599525,0.3804878316819667,10 11,False,True,weak,success,Do you remember that awful scene we had in Europe?,"Replacing 'Venice' with 'Europe' broadens the reference to a general location rather than a specific and evocative place, thereby slightly weakening the emotional impact associated with the specific memory.",europe,True,True,strict_word_replace,strict_success
118,test,"Around Four this morning, and there was a crack and I looked out.  We're standing right there when I cracked.",sad,hap,hap,out,out,word,0.1671269349753856,0.1169888544827699,14 15,False,True,weak,success,"Around Four this morning, and there was a crack and I looked around. We're standing right there when I cracked.","Replacing 'out' with 'around' maintains the context while reducing the sense of emotional intensity associated with looking 'out,' which often implies urgency or surprise.",around,True,True,strict_word_replace,strict_success
120,test,"Oh Annie.  Annie, I am going to make you a fortune!",hap,hap,hap,fortune,fortune,word,0.8925534784793854,0.6247874349355698,14 15,False,True,weak,success,"Oh Annie. Annie, I am going to make you a profit!","The word 'profit' conveys a less intense emotional reaction than 'fortune', as it is typically seen as a smaller scale success.",profit,True,True,strict_word_replace,strict_success
121,test,Do you want some brandy?,neu,neu,neu,some,some,word,0.0867749080061912,0.0607424356043338,4,False,True,weak,success,Do you want a brandy?,"The word 'a' generalizes the offer, reducing the emotional emphasis on quantity and making the invitation feel less generous or immediate.",a,True,True,strict_word_replace,strict_success
124,test,Why has to be you?  There's all those other people.  Somebody else can go instead.  It's not right.,sad,sad,sad,instead,instead,word,0.2492935732007026,0.1745055012404918,20 21,False,True,weak,success,Why has to be you? There's all those other people. Somebody else can go also. It's not right.,"Replacing 'instead' with 'also' weakens the emotional intensity by presenting the idea as an additional option rather than a replacement, which is less confrontational.",also,True,True,strict_word_replace,strict_success
127,test,"Why shouldn't he dream about him, walk around during the night, looking for him um.  Do we contradict him?  Do we say outright that we don't have any hope anymore, that we haven't had any for years now?",fru,fru,fru,anymore,anymore,word,0.3149199485778808,0.2204439640045165,38 39,False,False,weak,success,"Why shouldn't he dream about him, walk around during the night, looking for him um. Do we contradict him? Do we say outright that we don't have any hope nowadays, that we haven't had any for years now?","The word 'nowadays' is less emotionally intense than 'anymore' and provides a more neutral temporal reference, thus weakening the emotional intensity while preserving the original meaning.",nowadays,True,True,strict_word_replace,strict_success
129,test,"Right.  Maybe you have, like, you know a little bit of an abrasive vibe or something.",neu,neu,neu,little,little,word,0.1470544934272766,0.1029381453990936,13,False,True,weak,success,"Right. Maybe you have, like, you know a slight bit of an abrasive vibe or something.",Replacing 'little' with 'slight' reduces the emotional intensity without altering the sentence structure or essential meaning.,slight,True,True,strict_word_replace,strict_success
130,test,"Because you can't feel like that anymore Chris, you hear me?  I mean everything that you have, you deserve.  And that includes me.  And your father?  Your father put hundreds of planes in the air, you should be proud.  A man should be paid for that.",sad,sad,sad,planes,planes,word,0.4236961305141449,0.2965872913599014,43,False,True,weak,success,"Because you can't feel like that anymore Chris, you hear me? I mean everything that you have, you deserve. And that includes me. And your father? Your father put hundreds of machines in the air, you should be proud. A man should be paid for that.","The replacement word 'machines' conveys a more neutral sentiment than 'planes,' which carries significant emotional weight due to potential associations with achievement and innovation.",machines,True,True,strict_word_replace,strict_success
131,test,We have to say it to him.,fru,fru,fru,say,say,word,0.3201485276222229,0.224103969335556,4,False,True,weak,success,We have to mention it to him.,"Replacing 'say' with 'mention' weakens the emotional intensity by making the statement less direct and more informal, while maintaining the structure of the sentence.",mention,True,True,strict_word_replace,strict_success
137,test,"Oh, thanks.  I'll need it.",hap,neu,neu,thanks,thanks,word,0.4671871960163116,0.3270310372114181,3 4,False,True,weak,success,"Oh, appreciate. I'll need it.","The word 'appreciate' is less emotionally intense than 'thanks', making the emotional tone milder without reversing it.",appreciate,True,True,strict_word_replace,strict_success
139,test,So it's all right.  I can go ahead with it then?,fru,neu,neu,ahead,ahead,word,0.3094274997711181,0.2165992498397827,11,False,True,weak,success,So it's all right. I can go on with it then?,Replacing 'ahead' with 'on' weakens the assertiveness without changing the sentence structure.,on,True,True,strict_word_replace,strict_success
141,test,"Okay Okay, And Um- letters and numbers and stuff.  Uh- Can you - Can you just type in IP address search? And hit enter.",neu,neu,neu,address,address,word,0.2306434512138366,0.1614504158496856,25,False,True,weak,success,"Okay Okay, And Um- letters and numbers and stuff. Uh- Can you - Can you just type in IP location search? And hit enter.",Replacing 'address' with 'location' retains the technical context but reduces the specificity and intensity of the original term without strongly reversing its meaning.,location,True,True,strict_word_replace,strict_success
142,test,"No, I know.  But I know I don't make you happy.",sad,sad,sad,happy,happy,word,0.8389368150383234,0.8389368150383234,15 16,False,True,weak,success,"No, I know. But I know I don't make you content.","The word ""content"" is less emotionally intense than ""happy,"" thus weakening the emotional impact without reversing it.",content,True,True,strict_word_replace,strict_success
143,test,And now you're getting married.,exc,hap,hap,married,married,word,0.9538120441138744,0.9538120441138744,6 7,False,True,weak,success,And now you're getting engaged.,"The word 'engaged' is less intense and emotionally loaded than 'married,' providing a milder tone while maintaining the original context.",engaged,True,True,strict_word_replace,strict_success
146,test,actually I was hoping to go a little bit further up the coast to get away from the lights and the people but I was afraid I will miss it.  How are you doing?,exc,hap,hap,coast,coast,word,0.2868388891220093,0.2007872223854064,13,False,True,weak,success,actually I was hoping to go a little bit further up the water to get away from the lights and the people but I was afraid I will miss it.  How are you doing?,"Replacing 'coast' with 'water' slightly reduces the specificity and emotional connection often tied to coastal imagery, thereby softening the emotional association.",water,True,True,strict_word_replace,strict_success
